movement_count,span_seconds,movements_per_minute,interval_cv,burst_count,mean_burst_size,max_burst_size,duration_std_seconds,peak_amplitude_std,dominant_frequency_std_hz,dominant_direction,direction_counts,movements_early_third,movements_mid_third,movements_late_third,artifact_filtered_fraction,dataset,subject_id,record_id
1373,3706.9379248619084,22.223193824608984,1.4544769668352426,443,3.0993227990970653,34,0.9340045192698287,701.7216636247042,3.2118554163764035,az,"{'az': 581, 'ay': 435, 'ax': 357}",675,468,230,0.0,FOUR_IMU,record_23,record_23
1903,3989.2133510112767,28.622184364006262,1.2861503208988676,496,3.836693548387097,79,1.2042805642550343,816.4380172451109,3.12306814345076,az,"{'az': 828, 'ax': 548, 'ay': 527}",754,655,494,0.0,FOUR_IMU,record_24,record_24
1105,3102.294350862503,21.371279608450823,1.2766837109287392,384,2.8776041666666665,46,1.411583465151032,434.0671314543513,2.938299189006274,ay,"{'ay': 457, 'az': 404, 'ax': 244}",465,397,243,0.0,FOUR_IMU,record_25,record_25
790,3312.1358959674835,14.31100700237251,1.2628261217642813,365,2.164383561643836,20,0.9717640306053702,530.3971742314777,2.8827945633633743,az,"{'az': 311, 'ay': 254, 'ax': 225}",348,203,239,0.0,FOUR_IMU,record_26,record_26
733,2621.1648111343384,16.77879994923599,1.3951964109774642,286,2.562937062937063,34,1.2926534367666116,420.5033063811345,2.9428843995969496,ay,"{'ay': 342, 'az': 220, 'ax': 171}",303,229,201,0.0,FOUR_IMU,record_27,record_27
543,1246.868933916092,26.129450428823077,1.1495470575283946,158,3.4367088607594938,29,0.925919635345477,510.0973435331224,3.077518150108512,ay,"{'ay': 202, 'az': 199, 'ax': 142}",182,195,166,0.0,FOUR_IMU,record_28,record_28
927,3150.1989660263066,17.65602763502892,1.1288781375302668,386,2.401554404145078,23,1.202594007019756,582.976506784014,2.84138613565943,ay,"{'ay': 340, 'ax': 305, 'az': 282}",398,265,264,0.0,FOUR_IMU,record_29,record_29
1169,2839.2364118099217,24.703825193368807,1.500087084682531,333,3.5105105105105103,61,1.0554118599580693,779.421874342039,3.0422384002059486,ay,"{'ay': 468, 'az': 441, 'ax': 260}",601,331,237,0.0,FOUR_IMU,record_3,record_3
972,3484.635297060013,16.73632820318516,1.1800764902746506,429,2.265734265734266,29,1.0267730363625205,514.0926301782939,2.9446898492913105,az,"{'az': 347, 'ay': 325, 'ax': 300}",432,241,299,0.0,FOUR_IMU,record_30,record_30
826,2850.637837171554,17.38558274704379,1.309384840626322,338,2.4437869822485205,34,1.1178165588663416,489.2075726698919,3.248886952276357,ay,"{'ay': 315, 'az': 293, 'ax': 218}",343,283,200,0.0,FOUR_IMU,record_31,record_31
554,1626.5899391174319,20.435390137747703,1.0914595906792353,224,2.4732142857142856,22,0.6981063383142007,487.7512488672793,3.0715300760252195,az,"{'az': 270, 'ay': 156, 'ax': 128}",206,197,151,0.0,FOUR_IMU,record_32,record_32
1016,3600.500652074814,16.930978741767863,1.3939250242575838,401,2.533665835411471,63,1.125400160356413,925.3288016297794,2.8483010403680793,ay,"{'ay': 420, 'az': 338, 'ax': 258}",436,359,221,0.0,FOUR_IMU,record_33,record_33
1261,3809.441098213196,19.86118122038638,1.183253685459664,505,2.497029702970297,24,1.2398139102178363,797.5377525682342,3.065026194722482,az,"{'az': 487, 'ay': 409, 'ax': 365}",491,487,283,0.0,FOUR_IMU,record_34,record_34
759,2457.0665769577026,18.534296313772188,1.187477875435019,318,2.3867924528301887,24,1.3132430318782462,448.1274672270487,2.9296036206027174,az,"{'az': 329, 'ax': 221, 'ay': 209}",294,281,184,0.0,FOUR_IMU,record_35,record_35
654,2796.3180248737335,14.032738640939048,1.2339271778860064,305,2.144262295081967,24,1.3190256669915574,831.8947118286179,3.023910678763322,az,"{'az': 265, 'ax': 213, 'ay': 176}",288,192,174,0.0,FOUR_IMU,record_36,record_36
870,3255.060647010803,16.036567566855155,1.2119167026572182,369,2.3577235772357725,24,0.856630929685512,399.53696432926927,3.00676914581709,az,"{'az': 338, 'ax': 267, 'ay': 265}",412,224,234,0.0,FOUR_IMU,record_37,record_37
687,2867.8571140766144,14.373101015973006,1.150962898614468,346,1.9855491329479769,16,0.8784460399429804,712.352134376288,2.7344046726440143,az,"{'az': 238, 'ay': 238, 'ax': 211}",272,219,196,0.0,FOUR_IMU,record_38,record_38
1059,3595.764270067215,17.67079130546349,1.244276815937618,436,2.4288990825688073,37,1.1684770881668254,923.011955439845,2.7055850892701554,az,"{'az': 382, 'ay': 369, 'ax': 308}",483,307,269,0.0,FOUR_IMU,record_39,record_39
997,2243.0955759770004,26.66850251084146,1.5920553990951376,264,3.7765151515151514,46,0.6614612403088708,250.6595047167949,3.4857374949829913,az,"{'az': 511, 'ay': 277, 'ax': 209}",377,445,175,0.0,FOUR_IMU,record_4,record_4
