dataset,segment_id,candidate_id,start_timestamp,end_timestamp,duration_seconds,sample_count,start_index,end_index,peak_activity_score,threshold_used,filtered,filter_skip_reason,subject_id,record_id,sensor_id,true_label,primary_rms,primary_peak,primary_peak_to_peak,primary_std,primary_variance,primary_zero_crossing_rate,primary_energy,primary_mean_energy,primary_dominant_frequency_hz,primary_spectral_centroid_hz,primary_band_power,primary_spectral_entropy,primary_ax_contribution,primary_ay_contribution,primary_az_contribution,primary_directional_consistency,secondary_rms,secondary_peak,secondary_peak_to_peak,secondary_std,secondary_variance,secondary_zero_crossing_rate,secondary_energy,secondary_mean_energy,sensors_involved,max_sensor_overlap_fraction
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0009,359.988,363.476,3.4879999999999995,345,23770,24115,0.6460072552372472,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.34700062673520893,0.6460072552372472,0.6016349374362353,0.14725812356424403,0.02168495495566216,0.10465116279069768,41.54125505934658,0.12040943495462778,4.069767441860465,5.184830802353235,0.035057699651911634,0.4573973531887801,0.7382453709989758,0.0792553180787831,0.18249931092224103,0.7382453709989758,25.70291137111059,59.305906486250784,52.10739872362768,9.927671502034645,98.55866145231083,0.13662790697674418,227920.68026815235,660.6396529511662,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0010,364.156,374.285,10.12900000000002,1000,24181,25181,0.6347018116087503,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.34812882891109864,0.6347018116087503,0.618962958533369,0.145800794883446,0.021257871788644692,0.1021021021021021,121.19368151901298,0.12119368151901298,4.2,5.0071178176807765,0.10220068149275598,0.3695745448387763,0.7270498697058912,0.08342609232100427,0.18952403797310452,0.7270498697058912,25.985364976381447,57.6088180098037,56.0087161514573,10.375875253353938,107.65878727316264,0.16416416416416416,675239.1929557514,675.2391929557515,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0011,374.963,410.267,35.303999999999974,3483,25247,28730,0.6860042805943213,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.34379648645722843,0.6860042805943213,0.6645772577771356,0.14133951926249588,0.019976859705353442,0.10109132682366456,411.6767519414677,0.11819602410033526,4.135554279149914,5.152483248141638,0.3407051978098239,0.3721911267200777,0.7104123738618666,0.09046466643166512,0.19912295970646823,0.7104123738618666,25.04191801932909,65.38734637238954,63.19352987393125,9.305312559677839,86.58884183329813,0.16829408385985067,2184181.1431163205,627.0976580867989,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0012,411.242,412.235,0.992999999999995,99,28825,28924,0.6153493202069217,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.3652718423196651,0.6153493202069217,0.5686613483491912,0.149785175278996,0.02243559873335956,0.08163265306122448,13.208928360368624,0.13342351879160227,4.081632653061225,5.201124582648323,0.0115297517033756,0.41762652527949967,0.7091313620303024,0.080509349652567,0.21035928831713072,0.7091313620303024,26.378062776776833,52.03221376733791,44.6182826841471,11.004316112340252,121.0949731003113,0.12244897959183673,68884.41738970239,695.8021958555796,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0013,413.188,416.412,3.223999999999989,319,29017,29336,0.6109141496288615,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.3428367972653591,0.6109141496288615,0.568197430134732,0.1398011737918425,0.01954436819357695,0.09433962264150944,37.49432518937489,0.11753706955916894,4.40251572327044,5.221836580870909,0.03125389760245602,0.43483620631748027,0.730603631255551,0.07886150751473905,0.19053486122970992,0.730603631255551,23.731409228557197,51.78044498822844,48.775476064093915,8.483060327857837,71.96231252607551,0.17295597484276728,179654.35108746667,563.1797839732498,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0014,417.121,418.399,1.27800000000002,127,29405,29532,0.5886587075259713,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.3375204505752457,0.5886587075259713,0.5297539346513908,0.14728194533656772,0.02169197142212372,0.07936507936507936,14.467846928677643,0.11392005455651687,4.761904761904762,5.032489157340475,0.013580085705132368,0.4479477561299845,0.7177892103476851,0.07339666813595157,0.2088141215163633,0.7177892103476851,24.945224288663862,43.93597689237814,41.64808461298987,8.15503480904162,66.5045927366805,0.18253968253968253,79027.55528109169,622.2642148117455,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0015,419.089,423.073,3.983999999999981,394,29599,29993,0.633126185741086,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.3448373765349254,0.633126185741086,0.6087865110472249,0.14043877037899702,0.019723048225564647,0.11195928753180662,46.851649604663024,0.11891281625548991,4.060913705583756,5.391438976142103,0.038427100993361836,0.466656108405954,0.7097422370658458,0.08234384007967517,0.20791392285447904,0.7097422370658458,24.831205811436387,58.21091482008454,55.42030564260689,9.6482733544049,93.08917872131957,0.17302798982188294,242935.9801276654,616.5887820499122,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0016,423.803,425.325,1.5219999999999914,151,30064,30215,0.6120572649157148,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.3498248709061619,0.6120572649157148,0.5852704885553717,0.14547869014446438,0.021164049286149077,0.09333333333333334,18.478993485981434,0.12237744030451281,4.0,5.179106586629957,0.014613417551341996,0.44566896870213274,0.7315068837527252,0.0732952507960401,0.19519786545123463,0.7315068837527252,21.359034952699442,44.80387316613136,39.65822065392952,6.756553443348364,45.65101443282263,0.18666666666666668,68887.4644907061,456.20837411063644,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0017,426.013,434.855,8.842000000000041,873,30282,31155,0.680880961482579,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.3395259511249568,0.680880961482579,0.6543293031411831,0.14250504092060315,0.020307686687782777,0.09862385321100918,100.63758180841864,0.11527787148730657,4.128440366972477,5.117369291436465,0.08776889710864,0.3926104807691393,0.7115419651058009,0.08670163185405491,0.20175640304014422,0.7115419651058009,24.748249122992675,62.288003802267376,60.096818428976356,9.121406370715437,83.20005417972817,0.14678899082568808,534691.4036526869,612.4758346537077,,
COUGH,COUGH_Trial_1_No_Talking_IMU_seg0014,COUGH_Trial_1_No_Talking_IMU_seg0014_c0018,435.595,442.286,6.690999999999974,661,31227,31888,0.6391849171186657,0.5077378231705579,True,,14,Trial_1_No_Talking,IMU,Trial_1_No_Talking,0.3409146924001975,0.6391849171186657,0.6058267268754335,0.13736702589954236,0.01886969980448554,0.1,76.82328897374637,0.11622282749432129,3.9393939393939386,5.049764956032535,0.06293412952151252,0.4282929082570283,0.7098582858535892,0.0851438660853772,0.2049978480610336,0.7098582858535892,23.11599897100051,61.189881729620474,59.313897808662496,8.763295218567135,76.79534308776162,0.15757575757575756,353204.9589704431,534.3494084272967,,
