dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,sensor_id
COUGH,"('007', 'IMU')",3,76258,773.183,100.0,0.9356371063263365,0.3592339245730921,1.0022304162710822,5.66963334381691,14.91182835727801,595.9110662750602,2.63671875,4.9105876169678435,5.708034942910989,2.629141608691226,25.45391774621454,39.58327416802188,47.06099789094833,496.3241408797279,3.955078125,6.965824977075406,6.877742780426222,15510.083931794668,007,IMU
COUGH,"('008', 'IMU')",1,74280,753.162,100.0,0.8874157859670798,0.37136046001177425,0.961985118618644,3.6286228254848973,10.356167167282257,294.0932608829944,2.44140625,3.4235873253553826,3.4143550290113858,2.8203375641420125,27.922631285146387,34.61104411964965,44.47018903646093,329.1977634308311,1.220703125,5.18571840600269,6.222804033528325,10440.081409366609,008,IMU
COUGH,"('008', 'IMU')",2,73126,741.469,100.0,0.8756942037849733,0.3471761854535162,0.9420040564077484,3.8242087855592746,9.881264499188633,325.6800822936599,2.490234375,3.4641966132725424,3.4357807765329125,2.4619453933748945,30.126451715737353,34.23795510019104,45.60527011676777,381.84945586236574,1.26953125,5.0716676886523375,6.189602637001359,10226.628361871068,008,IMU
COUGH,"('008', 'IMU')",3,72841,738.583,100.0,0.8833133467845243,0.37667960285913726,0.9602759977307539,3.6516252549600825,12.01184721305817,350.46406095291877,2.5390625,3.839046188154825,3.9509977677034116,2.899642276422297,31.08632861771587,37.167804507666375,48.45415894274428,485.4366257360481,1.26953125,5.131105165505715,6.201223139717503,14079.938177535316,008,IMU
COUGH,"('009', 'IMU')",1,74987,760.273,100.0,1.0369457925340015,0.38717367371496914,1.106869473005699,6.706343515691808,10.139354594619698,637.0589201993978,2.9296875,3.5016247497849817,2.7383218406491943,3.100985199274679,25.88164566589821,36.75214462349309,44.950858910606584,377.5164637019159,2.9296875,4.1078173738092865,4.832551790537494,8674.620351571726,009,IMU
COUGH,"('009', 'IMU')",2,16178,163.998,100.0,1.001243547264178,0.18472301452271395,1.0181410673538875,6.38704263949246,6.957048900677301,588.4542065669648,1.611328125,4.355194735618107,5.234998652858894,0.8327253659993112,7.87826202582572,18.414506055630913,20.029005113096236,351.3272441101031,0.048828125,2.980308119188113,6.248085550456176,5752.832619553659,009,IMU
COUGH,"('009', 'IMU')",3,71712,727.1030000000001,100.0,1.0323690294968746,0.39046021643535855,1.1037413617705307,5.288628269024638,9.673363897667507,393.50291055479994,2.83203125,3.3830572769727936,2.384604820955528,3.070758272352823,33.40463174555128,41.71213759563751,53.43942219797373,331.5527843191855,2.83203125,4.369728621913285,4.657258484506184,11063.539520082268,009,IMU
COUGH,"('009', 'IMU')",4,73221,742.398,100.0,1.0279083364467934,0.4033333014228228,1.104207091162454,6.731384916254553,11.947469570206232,546.3234441241955,2.880859375,3.834879613157845,3.351472983562223,3.340805444757315,31.86123470341007,43.047108490564014,53.55550229644169,302.35990271038594,2.880859375,4.747304734068607,5.474070199140515,12987.475990174844,009,IMU
COUGH,"('010', 'IMU')",1,73544,745.637,100.0,1.028163527097758,0.3223915203360343,1.0775233319231103,4.068523584652484,11.922840639627017,366.748749943407,2.490234375,4.392533813142194,4.752140151033746,2.1609488503536234,28.259292210412607,39.30268308031627,48.4075251747625,509.5139657497133,1.26953125,7.834320185154477,8.59877862781989,13768.358235172816,010,IMU
COUGH,"('010', 'IMU')",2,75580,766.281,100.0,1.0341881488457627,0.34914961424250324,1.0915358813794047,4.390418473027424,12.733287496482408,521.0501706152935,2.5390625,4.283577690229112,4.734243509192291,2.5180519923000135,33.062073819235906,44.102763219499046,55.11945617314999,551.5630837646769,1.26953125,8.51067344968191,9.00232523174123,18277.328092179254,010,IMU
COUGH,"('010', 'IMU')",3,72253,732.557,100.0,1.0373685746520005,0.35898058750953304,1.0977252032654676,4.378582093188363,13.738978154836879,442.8909829294661,2.5390625,4.491109873654724,4.946107980329678,2.627523370278697,31.288253276838734,43.118815427016614,53.27463783963938,541.2101810988038,1.26953125,8.236792301269103,9.478339741613551,17499.881446154985,010,IMU
COUGH,"('011', 'IMU')",1,74679,757.185,100.0,0.9491533987298736,0.2890782073261106,0.99219876248227,7.572426786116038,12.028502486055451,937.7718951975457,2.5390625,4.805904511774195,5.31550524840937,1.7279416439930804,44.454051956753126,64.83693871393126,78.61292105734137,651.8703410364672,2.5390625,6.336038340364122,6.4818108211343795,28362.692336667184,011,IMU
COUGH,"('011', 'IMU')",2,72541,735.528,100.0,0.9587662161737636,0.34456430014402106,1.0188018522803612,5.67292057444288,15.453462323004171,701.0256906142359,2.5390625,5.242172482685034,5.76980509455005,2.449740976691082,54.865124121448375,81.66972866773192,98.38763349894583,874.4988366218677,2.5390625,6.098708593568846,6.333142996395553,49815.67399260463,011,IMU
COUGH,"('011', 'IMU')",3,20499,207.842,100.0,0.9401917561204798,0.14338280631194622,0.951062125953295,6.86937043181284,6.4822243100915315,806.6354048932783,2.001953125,4.659487436591029,6.2467658235185874,0.35220912014081407,15.482890616283743,28.33933703423765,32.29300118254605,725.2546920172251,0.048828125,2.5260881460527536,4.926470917116722,11889.756156089403,011,IMU
