dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,record_id,sub_dataset,sensor_id,candidate_artifact,candidate_reason,manual_label
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",25,2610,89.97299194335983,30.0,16483.770184524674,132.62097470796033,16484.303680142424,2521.033650963389,4891.758842046167,124595.59395636074,0.0439453125,7.1601354330580556,4.426199446999125,942641.992768143,291.2290547731679,184.52394406089763,344.7657875657938,3028.1157957333785,0.0146484375,1.474678599259747,3.029817731195521,1042046.9089179655,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",26,1709,58.89952898025558,30.0,15841.327124840805,212.29122707651032,15842.749529084613,3382.33734096624,5157.046641323557,79121.14012780102,0.017554125219426564,5.527425872251479,4.8977886774026915,1010694.5126180312,373.50024265554055,535.8100722919346,653.142300600134,5159.676289768093,0.0,0.7858049464184862,2.1043723332646387,1496218.54388932,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_acceleration_variability;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",33,877,30.19218611717224,30.0,15564.953898546411,189.89534830643038,15566.112234825483,4857.489082942673,7598.997927061939,252461.50378408947,14.982896237172179,7.536598350710136,4.480094207667293,2182499.0461817225,252.46045165406468,85.35566309142769,266.49928493553534,1608.7249196407627,0.2394526795895097,4.076049860405047,4.43531875982582,407806.41034529824,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",35,878,30.21642780303955,30.0,15938.040854561701,374.76430966442757,15942.446316970181,5731.935732724252,10349.014183284748,284268.613758318,0.03416856492027335,4.371268290246156,4.555703872309564,3600612.46965446,641.209686967898,957.9321827371164,1152.7289054174732,5684.241728866817,0.03416856492027335,0.4434908158307385,1.1865672581730458,26893453.270083718,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",36,2632,90.68359684944153,30.0,15972.846927435072,119.5248669618934,15973.29412366448,2603.6721865658947,4762.891300304578,98673.70376841025,0.0146484375,6.960003195273563,4.291206250180137,938375.3557658044,248.90933554352856,75.7318661569852,260.175273368436,927.5645370738488,0.0439453125,1.929439411351787,3.138911518742032,669846.4223529034,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",38,3510,120.95020484924271,30.0,15838.667156038835,119.33554402825345,15839.116713120458,2221.9257528844973,4689.698192790705,99207.28676700898,10.4736328125,7.593235489086314,4.34404637366586,823889.4011699636,260.93518780470157,110.90506380878425,283.5261988125708,1092.121498130268,0.5126953125,4.233375070671598,4.584454699443808,168335.31417868123,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",42,1755,60.4471681118016,30.0,16404.91965385871,447.35005320037686,16411.017973290327,3113.8163993879334,5250.35684905605,77875.34625391634,0.017094017094017096,1.1537683959368479,2.68956153919221,7274348.167835339,428.7513595376599,523.8782653792515,676.9609776362041,4260.074489790907,0.03418803418803419,0.45146542875736223,1.164859015859394,16109733.506127391,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_acceleration_variability;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",44,864,29.745712995529175,30.0,16713.524788572377,161.40302993738277,16714.304107449294,2939.289682083392,5718.928033238478,155535.92086285164,0.034722222222222224,6.782096791897219,4.63650625888077,785343.1879477676,429.64795310670394,409.9489365813534,593.8480396641577,2714.5784342196657,0.034722222222222224,0.6198377986304887,1.550938273075639,1615554.6130506622,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",45,1749,60.245858907699585,30.0,16720.799528016178,340.68273585925215,16724.26983705473,13451.468536912798,12254.042161830821,558751.1676265262,5.111492281303602,6.200223211150677,3.862976359805636,13906050.13464936,364.5031017312099,244.1801605507715,438.7327910907427,3404.016011508308,0.17152658662092624,2.630558933880148,3.5791568335823523,3558168.3198445113,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset Three', 'record_39', 'IMU1')",46,1323,45.58880686759949,30.0,16595.263450519175,272.6194307921861,16597.5025333989,7194.633546188743,9337.097799553023,273872.07865208376,0.15873015873015872,6.043400666767553,4.448404136003874,1981350.2730470146,444.9665792238126,370.1576215136426,578.8021435609742,5183.392565803602,0.09070294784580499,0.6690522623801773,1.5451702562803789,5613385.901361359,single_subject,record_39,Sub-dataset Three,IMU1,True,unusually_high_acceleration_variability;unusually_high_jerk;unusually_high_gyroscope_variability;unusually_large_acceleration_range,
