dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,record_id,sub_dataset,sensor_id
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",32,885,30.188166856765747,30.0,15782.521999601739,112.32286442410847,15782.92169066885,808.3996480727274,4475.588509763923,28888.988347072314,11.220338983050848,6.791108084484739,4.180616458654345,368227.67878675845,1029.806169757968,88.13629445772794,1033.5708750116348,723.7287307500833,0.576271186440678,3.3102160193336294,3.6708925835312693,286593.24691264785,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",33,885,30.178800106048584,30.0,15766.026079439882,108.95092578518026,15766.402526949765,880.697507489609,4182.650087231425,27878.2690562543,4.677966101694915,6.502999904039009,4.241025215266807,380416.91500761535,1029.7738117867434,112.29811743599944,1035.8788397401836,895.3650355906738,0.576271186440678,2.025373064272505,3.08530594898158,308127.2490719183,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",34,1770,60.452262163162686,30.0,15762.766505095977,117.23259826305001,15763.202446719739,1365.818899540358,4231.33349567715,38081.845263512645,3.7288135593220337,6.1022794360599,3.9785394503616023,793321.2966560172,1032.507152787453,124.9698214726476,1040.0425360705965,1278.1224406213355,0.4406779661016949,2.285728502793227,2.989163710683021,835401.6424394088,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",35,885,30.217041015624545,30.0,15776.932867921632,110.1821079546789,15777.317605214746,823.744897052713,4216.299899006359,30983.70380263612,5.966101694915254,6.293340229060831,4.194199442166892,414301.0883843649,1028.900535402788,95.80169666563647,1033.3509940171143,519.4850058175531,0.5084745762711864,1.935117686599976,2.867106639903773,277057.6658917228,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",36,885,30.18264389038086,30.0,15779.749148624385,106.7090332979693,15780.109949277901,1203.5911670487894,3966.0383640821647,28487.769808210876,4.711864406779661,5.918222650462375,3.7053963605037112,427402.11922225525,1029.9423600129894,117.58301080260271,1036.6325430829052,1112.4318581936259,0.3389830508474576,2.321062902133791,3.125375371867947,450647.8142904238,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",37,3541,120.94000196456909,30.0,15653.086999520288,155.60938855295038,15653.86044707046,1307.6053852994737,4122.918940504155,33184.67412254479,0.0146484375,4.732983338284142,4.537075858781759,1117624.9956397153,1041.7140876089104,129.95837429805565,1049.789226165452,1695.3622902481238,0.1318359375,2.1642749121967264,3.342361146811934,1128622.2147977953,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",38,1769,60.456542015075684,30.0,15561.649659107508,108.3440608962901,15562.02681363621,767.2954015324285,4198.613460288846,27808.41046080376,1.3058224985867721,6.836240791162939,4.360638906346749,732628.8400700325,1032.4722878779723,113.65517741919788,1038.7090663848871,1096.3309295945292,0.5087620124364047,3.0844866967168088,3.3066724100158624,745744.3575360077,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",39,3540,120.93071699142502,30.0,15513.117854394935,104.77061062524666,15513.471643871262,1200.445196659739,3959.6288460597334,38681.25172067635,0.0146484375,6.438519973563535,4.546946556355789,808203.4199487306,1031.6171350462664,118.95635486408005,1038.4529491910628,1843.0536619779875,0.5126953125,2.2661104896280744,3.4028839385537895,1099655.849184003,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",40,885,30.226396083831787,30.0,15503.802771912242,111.31774918989767,15504.202399080012,814.2447032572927,4403.241529597418,31134.27010966537,3.6610169491525424,7.19416841703782,4.0815406308986075,394313.5485677384,1028.8675432163425,97.20052653034148,1033.4487717549466,737.1578114065783,1.5593220338983051,3.2059713965551215,3.386387757701834,310674.56322052306,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",41,2655,90.67798399925277,30.0,15468.627766837284,127.38206877329053,15469.152245046085,2329.97728345834,4605.861065215528,68579.10929637575,3.2958984375,6.183063034606363,4.042608231377445,1113696.2049440332,1033.8290801478954,140.6019166083,1043.3462828387185,1504.9292403441077,0.9814453125,3.0781680242772693,3.223745087491969,1434955.9024762972,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",42,47,1.580583810805365,30.0,15375.72345360161,113.79611136177375,15376.144551759253,534.7804478879534,4013.538380795479,21043.305550298486,1.9148936170212767,4.8897387036015125,3.905836398660886,15756.50738995651,1096.386195516719,158.89047366283552,1107.8397322448882,776.2228625121478,0.6382978723404256,2.5748491771988506,4.077600534961885,21982.427156103917,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",43,1703,58.149904966353915,30.0,15409.100199772924,117.14502058455572,15409.54548072362,1117.924505095978,4424.096286677068,31003.67710450849,3.893129770992366,6.481154391449587,4.159313344110463,823597.7493707006,1031.3830700361666,90.84275199961378,1035.3759910042784,1211.0060786597483,0.5284791544333529,4.2413011522407,3.8872208689988974,405131.45144111867,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",44,885,30.205235004424594,30.0,15404.777651878088,107.22081410404122,15405.150788187037,860.4665632867654,4096.540376634378,30251.556702615257,3.76271186440678,6.856218226712849,4.225191090526029,281497.25388094434,1034.759874527393,122.5194361623706,1041.9880086495677,1073.9200822994767,0.5084745762711864,2.984501872373461,3.6729294192391637,320488.89748932625,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",45,885,30.19804096221924,30.0,15385.122773470235,120.89538851868546,15385.597760558981,921.883118689977,4536.997991684774,33555.7809135055,5.661016949152542,6.559181738899847,4.18439782822044,349431.9749605503,1037.4471578533066,110.37584110897829,1043.3021765713029,1038.7309594611515,0.5423728813559322,5.091777483191607,4.512675436634989,189090.31659634446,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",46,31,1.0264840126037598,30.0,15350.595815624187,129.00753486061222,15351.137900452515,523.0000759965151,5227.436040358257,22151.932869631022,10.645161290322582,7.878056112940812,3.3405063227772156,14587.307258378605,1020.2352733213769,65.77272677169809,1022.3531994942497,364.50075551207055,0.9677419354838711,4.290077002431949,3.8513824197384023,1631.6614558278102,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",47,835,28.4755699634552,30.0,15735.886658620151,377.91385292680076,15740.424003602115,3417.5767084843537,6412.7043748274655,92159.73034979089,0.03592814371257485,1.8755775850167833,2.8271680233007115,5275120.024165532,1353.4277117400507,986.515612165457,1674.8073393534241,6283.770799119884,0.0718562874251497,0.5435311708707325,1.2050169579508525,47092721.56296814,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",48,1771,60.44650983810379,30.0,15830.012095138776,105.62464839453918,15830.364477755664,925.9278555691653,4197.825646046755,32768.61534928884,6.047430830039525,7.554835789648943,4.3277589263189755,525470.4953837495,1033.6595294938397,90.80962899615936,1037.6407912335783,1003.4120614954292,0.5251270468661773,3.4093143255579963,4.172151828331408,353504.0059772193,single_subject,record_17,Sub-dataset Three,IMU3
FOUR-IMU,"('Sub-dataset Three', 'record_17', 'IMU3')",49,2655,90.69198799133255,30.0,15689.938151884626,206.46873841112432,15691.296586002887,1826.5554745821355,4634.824012314224,47572.85207771708,0.0146484375,4.6971429902310255,4.051102726662025,1798859.3924933937,1049.051802985442,147.242786558401,1059.3347551838795,1849.0445106131933,0.0732421875,2.716516678574247,3.06090387330585,1821662.6705857427,single_subject,record_17,Sub-dataset Three,IMU3
