movement_id,subject_id,record_id,start_time,end_time,duration,dataset,candidate_id,sensor_id,artifact_filtered,filter_method,artifact_probability,primary_rms,primary_peak,primary_peak_to_peak,primary_std,primary_variance,primary_energy,primary_mean_energy,primary_dominant_frequency_hz,primary_spectral_centroid_hz,primary_band_power,primary_spectral_entropy,primary_directional_consistency,resultant_direction,secondary_rms,secondary_peak,secondary_zero_crossing_rate,sensors_involved,max_sensor_overlap_fraction,inter_event_interval_seconds
FOUR_IMU_mv000558,record_1,record_1,69.56974601745605,70.3795690536499,0.8098230361938477,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0016_c0003,IMU3,True,trained_model,0.1066666666666666,187.00922544625047,354.75898448499817,324.1870612940585,95.98077724070632,9212.30959973009,839338.8096481569,34972.450402006536,3.75,5.945265324609861,2722.802686958671,0.9170157825685318,0.7322491324204238,az,98.11111177841327,161.03920861125627,0.5652173913043478,0.0,0.0,22.021435978456054
FOUR_IMU_mv000559,record_1,record_1,117.10262393951416,117.67944598197938,0.5768220424652242,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0016_c0006,IMU3,True,trained_model,0.1466666666666666,252.69443927857955,394.5621278477743,323.04971683210454,93.77258370036684,8793.297453842308,1149380.6335616831,63854.47964231573,11.25,8.284682866268502,1668.537271693574,0.7553648822737468,0.4244711723515987,az,138.90556970933807,220.4210537213417,0.2941176470588235,2.0,0.594478225089416,23.000604870514167
FOUR_IMU_mv000560,record_1,record_1,144.08728790283203,144.55605292320251,0.4687650203704834,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0001,IMU3,True,trained_model,0.02,275.9223399898285,471.430026170303,390.4797742546901,100.96849213924132,10194.636404872035,1141997.0655819378,76133.13770546252,,,,,0.8533103280330566,ay,188.6308238434406,411.4212346821086,0.7142857142857143,1.0,0.2842295804526934,5.065826892852783
FOUR_IMU_mv000561,record_1,record_1,232.43902587890625,233.0394070148468,0.6003811359405518,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0005,IMU3,True,trained_model,0.4466666666666666,271.4719504511811,425.26627193553776,294.67611022689294,91.3630989490877,8347.215849580789,1326546.3578718333,73697.01988176852,5.625,7.668612348305359,3493.6442795242665,0.8765611655886304,0.5141828221612527,ay,234.00804454745185,338.38013247829525,0.3529411764705882,3.0,1.0,60.777025749906244
FOUR_IMU_mv000562,record_1,record_1,253.71878910064703,255.39908909797668,1.680299997329655,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0006,IMU3,True,trained_model,0.4233333333333333,246.07714675604456,412.5572315832618,383.97820509155184,94.69391720763716,8966.937956126843,3027698.1077797944,60553.96215559589,13.2,8.83973075550338,2434.6366391288807,0.8466646514736925,0.4601408529199335,ay,119.5908336299747,237.6132342527558,0.2040816326530612,3.0,0.7417420093310271,8.576887130737362
FOUR_IMU_mv000563,record_1,record_1,257.92733693122864,258.5863220691681,0.6589851379394531,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0008,IMU3,True,trained_model,0.28,365.0684309311436,982.5747498442428,893.4231094840143,224.5877354246303,50439.65090316373,2665499.1852505435,133274.95926252718,5.625,5.316561617566422,2401.90989529444,0.8623778925044937,0.8423265328592977,ay,142.9326283848386,238.772001960098,0.3684210526315789,1.0,0.7821922992318334,2.528247833251953
FOUR_IMU_mv000564,record_1,record_1,312.0570039749145,312.4947829246521,0.4377789497376056,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0009,IMU3,True,trained_model,0.0066666666666666,187.2548474693536,341.8336663700365,318.52870896062745,101.8997363690696,10383.556272085889,490901.2906107924,35064.37790077088,,,,,0.3733230413087011,ay,71.94180465917549,179.88841028279714,0.3846153846153846,0.0,0.0,8.950417995452824
FOUR_IMU_mv000565,record_1,record_1,364.9445250034332,365.4263908863068,0.481865882873592,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0010,IMU3,True,trained_model,0.0466666666666666,205.0594112363856,342.64759635691667,257.3326518440061,80.76487512698621,6522.965054277675,630740.4320491964,42049.3621366131,,,,,0.63922829937825,az,222.68358918983768,351.6753858868601,0.5,1.0,0.4846968866336232,1.7522718744332337
FOUR_IMU_mv000566,record_1,record_1,411.9181408882141,412.43139696121216,0.5132560729980469,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0011,IMU3,True,trained_model,0.1133333333333333,177.78535656943438,353.5762656904444,343.2836860332304,85.45664307526849,7302.8378456938335,505722.1281683349,31607.633010520927,5.625,6.355937897961586,1537.881065319653,0.8125228021938208,0.4078573478302673,az,120.26047990005036,208.1110694158712,0.6666666666666666,0.0,0.0,-0.22574024078591037
FOUR_IMU_mv000567,record_1,record_1,415.6349620819092,416.0625910758972,0.4276289939880371,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0012,IMU3,True,trained_model,0.0333333333333333,211.33808442369065,459.6083954234009,390.5825542859884,120.1522952926228,14436.574064085631,580629.2170623748,44663.78592787498,,,,,0.5150459182973499,az,142.807488480941,286.91118523893465,0.4166666666666667,1.0,1.0,2.0053720529091947
FOUR_IMU_mv000568,record_1,record_1,437.3056089878082,438.0433030128479,0.7376940250396729,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0013,IMU3,True,trained_model,0.35,265.75914985347447,585.2677370821552,543.6700755096732,130.0027777872771,16900.722232408145,1553814.3660785132,70627.92573084151,5.625,7.706792100266928,3722.063726202184,0.7980070114094009,0.711184299858113,ay,120.7728747502622,296.90066211031404,0.238095238095238,1.0,0.0743602447615843,5.77069185880822
FOUR_IMU_mv000569,record_1,record_1,444.7878370285034,445.1247410774231,0.3369040489196777,FOUR_IMU,FOUR_IMU_record_1_IMU3_seg0017_c0015,IMU3,True,trained_model,0.0066666666666666,359.0085296217545,797.6759925101086,683.0129205340072,218.2326846961018,47625.50466966819,1417758.367752916,128887.12434117416,,,,,0.7590793164042459,ay,123.40958567397608,215.45405068844065,0.5,0.0,0.0,6.744534015655518
